"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2458","should search for Cypress and verify title","webkit","Fri Jan 16 18:05:42 UTC 2026","passed","Fri Jan 16 18:05:45 UTC 2026","","google.spec.ts","",""
"","4399","should search for Playwright and verify title","firefox","Thu Jan 15 14:17:12 UTC 2026","passed","Thu Jan 15 14:17:17 UTC 2026","Google Search","google.spec.ts","",""
"","3193","should search for Playwright and verify title","webkit","Fri Jan 16 18:05:35 UTC 2026","passed","Fri Jan 16 18:05:38 UTC 2026","","google.spec.ts","",""
"","2316","should search for Playwright and verify title","firefox","Fri Jan 16 18:05:27 UTC 2026","passed","Fri Jan 16 18:05:30 UTC 2026","","google.spec.ts","",""
"","1703","should search for Selenium and verify title","firefox","Fri Jan 16 18:05:30 UTC 2026","passed","Fri Jan 16 18:05:32 UTC 2026","","google.spec.ts","",""
"","1202","should search for Cypress and verify title","chromium","Fri Jan 16 18:05:26 UTC 2026","passed","Fri Jan 16 18:05:27 UTC 2026","","google.spec.ts","",""
"","3616","should search for Selenium and verify title","webkit","Fri Jan 16 18:05:39 UTC 2026","passed","Fri Jan 16 18:05:42 UTC 2026","","google.spec.ts","",""
"","5711","should search for Playwright and verify title","chromium","Thu Jan 15 14:17:12 UTC 2026","passed","Thu Jan 15 14:17:18 UTC 2026","Google Search","google.spec.ts","",""
"","1988","should search for Cypress and verify title","firefox","Fri Jan 16 18:05:32 UTC 2026","passed","Fri Jan 16 18:05:34 UTC 2026","","google.spec.ts","",""
"","1514","should search for Selenium and verify title","chromium","Fri Jan 16 18:05:24 UTC 2026","passed","Fri Jan 16 18:05:26 UTC 2026","","google.spec.ts","",""
"","3034","should search for Playwright and verify title","webkit","Thu Jan 15 14:17:12 UTC 2026","passed","Thu Jan 15 14:17:15 UTC 2026","Google Search","google.spec.ts","",""
"","1397","should search for Playwright and verify title","chromium","Fri Jan 16 18:05:22 UTC 2026","passed","Fri Jan 16 18:05:24 UTC 2026","","google.spec.ts","",""
